Date,Year,Round,Region,Wse,Winner,WSc,Lse,Loser,LSc,MV,DKP,Dsag,KPC,SagC
21-Mar-13,2013,1,West,14,Harvard,68,3,New Mexico,62,6,-11.95,-7.71,0,0
21-Mar-13,2013,1,West,9,Wichita St.,73,8,Pittsburgh,55,18,-3.77,-0.22,0,0
21-Mar-13,2013,1,Midwest,6,Memphis,54,11,Saint Mary's,52,2,-3,-0.96,0,0
21-Mar-13,2013,1,East,12,California,64,5,UNLV,61,3,-2.96,-2.05,0,0
21-Mar-13,2013,1,Midwest,12,Oregon,68,5,Oklahoma St.,55,13,-1.91,0.28,0,1
21-Mar-13,2013,1,Midwest,8,Colorado St.,84,9,Missouri,72,12,0.59,0.49,1,1
21-Mar-13,2013,1,East,6,Butler,68,11,Bucknell,56,12,2.69,2.86,1,1
21-Mar-13,2013,1,West,6,Arizona,81,11,Belmont,64,17,6.96,5.21,1,1
21-Mar-13,2013,1,East,3,Marquette,59,14,Davidson,58,1,6.96,5.99,1,1
21-Mar-13,2013,1,South,5,VCU,88,12,Akron,42,46,8.76,6.97,1,1
21-Mar-13,2013,1,Midwest,4,Saint Louis,64,13,New Mexico St.,44,20,12.33,8.75,1,1
21-Mar-13,2013,1,Midwest,3,Michigan St.,65,14,Valparaiso,54,11,12.75,9.33,1,1
21-Mar-13,2013,1,South,4,Michigan,71,13,South Dakota St.,56,15,21.07,15.53,1,1
21-Mar-13,2013,1,East,4,Syracuse,81,13,Montana,34,47,22.69,17.95,1,1
21-Mar-13,2013,1,West,1,Gonzaga,64,16,Southern,58,6,27.31,18.37,1,1
21-Mar-13,2013,1,Midwest,1,Louisville,79,16,North Carolina A&T,48,31,38.22,28.27,1,1
22-Mar-13,2013,1,South,15,Florida Gulf Coast,78,2,Georgetown,68,10,-14.97,-8.77,0,0
22-Mar-13,2013,1,West,12,Mississippi,57,5,Wisconsin,46,11,-5.62,-2.3,0,0
22-Mar-13,2013,1,East,9,Temple,76,8,North Carolina St.,72,4,-4.32,-1.95,0,0
22-Mar-13,2013,1,West,13,La Salle,63,4,Kansas St.,61,2,-4.27,-2.13,0,0
22-Mar-13,2013,1,West,10,Iowa St.,76,7,Notre Dame,58,18,0.98,1.71,1,1
22-Mar-13,2013,1,East,7,Illinois,57,10,Colorado,49,8,1.2,1.34,1,1
22-Mar-13,2013,1,South,8,North Carolina,78,9,Villanova,71,7,3.57,3.01,1,1
22-Mar-13,2013,1,South,7,San Diego St.,70,10,Oklahoma,55,15,3.63,1.98,1,1
22-Mar-13,2013,1,South,11,Minnesota,83,6,UCLA,63,20,5.32,3.99,1,1
22-Mar-13,2013,1,Midwest,7,Creighton,67,10,Cincinnati,63,4,6.18,2.63,1,1
22-Mar-13,2013,1,West,2,Ohio St.,95,15,Iona,70,25,17.97,12.88,1,1
22-Mar-13,2013,1,East,2,Miami FL,78,15,Pacific,49,29,18.41,13.17,1,1
22-Mar-13,2013,1,Midwest,2,Duke,73,15,Albany,61,12,25.62,17.88,1,1
22-Mar-13,2013,1,South,1,Kansas,64,16,Western Kentucky,57,7,25.64,18.61,1,1
22-Mar-13,2013,1,South,3,Florida,79,14,Northwestern St.,47,32,28.36,16.79,1,1
22-Mar-13,2013,1,East,1,Indiana,83,16,James Madison,62,21,30.23,20.22,1,1
23-Mar-13,2013,2,West,9,Wichita St.,76,1,Gonzaga,70,6,-7.5,-2.6,0,0
23-Mar-13,2013,2,Midwest,12,Oregon,74,4,Saint Louis,57,17,-3.23,-0.38,0,0
23-Mar-13,2013,2,East,3,Marquette,74,6,Butler,72,2,2.91,1.72,1,1
23-Mar-13,2013,2,South,4,Michigan,78,5,VCU,53,25,7.58,5.52,1,1
23-Mar-13,2013,2,Midwest,3,Michigan St.,70,6,Memphis,48,22,7.84,5.11,1,1
23-Mar-13,2013,2,East,4,Syracuse,66,12,California,60,6,11.72,9.58,1,1
23-Mar-13,2013,2,Midwest,1,Louisville,82,8,Colorado St.,56,26,13.8,10.63,1,1
23-Mar-13,2013,2,West,6,Arizona,74,14,Harvard,51,23,14.81,10.12,1,1
24-Mar-13,2013,2,South,15,Florida Gulf Coast,81,7,San Diego St.,71,10,-11.16,-5.92,0,0
24-Mar-13,2013,2,West,13,La Salle,76,12,Mississippi,74,2,-3.06,-2.03,0,0
24-Mar-13,2013,2,Midwest,2,Duke,66,7,Creighton,50,16,5.23,4.68,1,1
24-Mar-13,2013,2,East,2,Miami FL,63,7,Illinois,59,4,6.55,3.98,1,1
24-Mar-13,2013,2,West,2,Ohio St.,78,10,Iowa St.,75,3,7.79,4.54,1,1
24-Mar-13,2013,2,South,1,Kansas,70,8,North Carolina,58,12,8.09,5.55,1,1
24-Mar-13,2013,2,South,3,Florida,78,11,Minnesota,64,14,11.33,5.33,1,1
24-Mar-13,2013,2,East,1,Indiana,58,9,Temple,52,6,16.64,9.93,1,1
28-Mar-13,2013,3,East,4,Syracuse,61,1,Indiana,50,11,-4.48,-1.04,0,0
28-Mar-13,2013,3,East,3,Marquette,71,2,Miami FL,61,10,-4.05,-2.21,0,0
28-Mar-13,2013,3,West,2,Ohio St.,73,6,Arizona,70,3,3.54,2.53,1,1
28-Mar-13,2013,3,West,9,Wichita St.,72,13,La Salle,58,14,6.42,4.91,1,1
29-Mar-13,2013,3,South,4,Michigan,87,1,Kansas,85,2,2.63,1.72,1,1
29-Mar-13,2013,3,Midwest,2,Duke,71,3,Michigan St.,61,10,2.81,2.19,1,1
29-Mar-13,2013,3,Midwest,1,Louisville,77,12,Oregon,69,8,16.14,10.31,1,1
29-Mar-13,2013,3,South,3,Florida,62,15,Florida Gulf Coast,50,12,24.91,13.74,1,1
30-Mar-13,2013,4,West,9,Wichita St.,70,2,Ohio St.,66,4,-5.11,-2.47,0,0
30-Mar-13,2013,4,East,4,Syracuse,55,3,Marquette,39,16,6.51,5.47,1,1
31-Mar-13,2013,4,South,4,Michigan,79,3,Florida,59,20,-3.32,0.41,0,1
31-Mar-13,2013,4,Midwest,1,Louisville,85,2,Duke,63,22,5.94,4.2,1,1
6-Apr-13,2013,5,Final Four,4,Michigan,61,4,Syracuse,56,5,3.03,1.14,1,1
6-Apr-13,2013,5,Final Four,1,Louisville,72,9,Wichita St.,68,4,12.61,8.05,1,1
8-Apr-13,2013,6,Championship,1,Louisville,82,4,Michigan,76,6,5.06,3.59,1,1
20-Mar-14,2014,1,South,11,Dayton,60,6,Ohio St.,59,1,-7.05,-2.52,0,0
20-Mar-14,2014,1,West,12,North Dakota St.,80,5,Oklahoma,75,5,-6.14,-4.1,0,0
20-Mar-14,2014,1,East,12,Harvard,61,5,Cincinnati,57,4,-1.66,-1.44,0,0
20-Mar-14,2014,1,Midwest,7,Texas,87,10,Arizona St.,85,2,-0.3,-0.15,0,0
20-Mar-14,2014,1,Midwest,5,Saint Louis,83,12,North Carolina St.,80,3,4.12,3.17,1,1
20-Mar-14,2014,1,West,7,Oregon,87,10,BYU,68,19,5.25,3.69,1,1
20-Mar-14,2014,1,East,7,Connecticut,89,10,Saint Joseph's,81,8,9.2,8.22,1,1
20-Mar-14,2014,1,West,4,San Diego St.,73,13,New Mexico St.,69,4,9.84,8.09,1,1
20-Mar-14,2014,1,South,9,Pittsburgh,77,8,Colorado,48,29,10.69,6.18,1,1
20-Mar-14,2014,1,East,4,Michigan St.,93,13,Delaware,78,15,18.09,13.25,1,1
20-Mar-14,2014,1,South,3,Syracuse,77,14,Western Michigan,53,24,18.26,12.98,1,1
20-Mar-14,2014,1,Midwest,4,Louisville,71,13,Manhattan,64,7,20.2,13.23,1,1
20-Mar-14,2014,1,West,2,Wisconsin,75,15,American,35,40,21.32,17.51,1,1
20-Mar-14,2014,1,East,2,Villanova,73,15,Milwaukee,53,20,23.6,17.31,1,1
20-Mar-14,2014,1,Midwest,2,Michigan,57,15,Wofford,40,17,25.38,18.64,1,1
20-Mar-14,2014,1,South,1,Florida,67,16,Albany,55,12,29.61,21.15,1,1
21-Mar-14,2014,1,Midwest,14,Mercer,78,3,Duke,71,7,-15.91,-8.58,0,0
21-Mar-14,2014,1,South,12,Stephen F. Austin,77,5,VCU,75,2,-8.97,-5.98,0,0
21-Mar-14,2014,1,South,10,Stanford,58,7,New Mexico,53,5,-1.09,0.28,0,1
21-Mar-14,2014,1,West,8,Gonzaga,85,9,Oklahoma St.,77,8,-0.84,0.13,0,1
21-Mar-14,2014,1,East,8,Memphis,71,9,George Washington,66,5,1.4,1.58,1,1
21-Mar-14,2014,1,East,6,North Carolina,79,11,Providence,77,2,4.63,3.3,1,1
21-Mar-14,2014,1,West,6,Baylor,74,11,Nebraska,60,14,6.75,5.92,1,1
21-Mar-14,2014,1,Midwest,8,Kentucky,56,9,Kansas St.,49,7,8.45,7.57,1,1
21-Mar-14,2014,1,Midwest,11,Tennessee,86,6,Massachusetts,67,19,10.23,6.09,1,1
21-Mar-14,2014,1,East,3,Iowa St.,93,14,North Carolina Central,75,18,13.09,9.28,1,1
21-Mar-14,2014,1,South,4,UCLA,76,13,Tulsa,59,17,13.6,9.61,1,1
21-Mar-14,2014,1,West,3,Creighton,76,14,Louisiana Lafayette,66,10,16.53,9.99,1,1
21-Mar-14,2014,1,South,2,Kansas,80,15,Eastern Kentucky,69,11,20.64,12.52,1,1
21-Mar-14,2014,1,Midwest,1,Wichita St.,64,16,Cal Poly,37,27,26.18,18.62,1,1
21-Mar-14,2014,1,West,1,Arizona,68,16,Weber St.,59,9,30.73,21.73,1,1
21-Mar-14,2014,1,East,1,Virginia,70,16,Coastal Carolina,59,11,31.44,20.53,1,1
22-Mar-14,2014,2,South,11,Dayton,55,3,Syracuse,53,2,-7.37,-3.29,0,0
22-Mar-14,2014,2,East,7,Connecticut,77,2,Villanova,65,12,-1.55,0.8,0,1
22-Mar-14,2014,2,East,4,Michigan St.,80,12,Harvard,73,7,6.34,5.78,1,1
22-Mar-14,2014,2,South,1,Florida,61,9,Pittsburgh,45,16,6.68,6.13,1,1
22-Mar-14,2014,2,West,2,Wisconsin,85,7,Oregon,77,8,6.87,6.39,1,1
22-Mar-14,2014,2,West,4,San Diego St.,63,12,North Dakota St.,44,19,8.62,6.81,1,1
22-Mar-14,2014,2,Midwest,2,Michigan,79,7,Texas,65,14,8.92,7.23,1,1
22-Mar-14,2014,2,Midwest,4,Louisville,66,5,Saint Louis,51,15,14.69,9.63,1,1
23-Mar-14,2014,2,South,10,Stanford,60,2,Kansas,57,3,-8.54,-3.66,0,0
23-Mar-14,2014,2,Midwest,8,Kentucky,78,1,Wichita St.,76,2,-2.81,0.72,0,1
23-Mar-14,2014,2,West,6,Baylor,85,3,Creighton,55,30,-2.33,0.91,0,1
23-Mar-14,2014,2,East,3,Iowa St.,85,6,North Carolina,83,2,2.63,2.27,1,1
23-Mar-14,2014,2,West,1,Arizona,84,8,Gonzaga,61,23,9.97,7.3,1,1
23-Mar-14,2014,2,East,1,Virginia,78,8,Memphis,60,18,11.24,5.95,1,1
23-Mar-14,2014,2,South,4,UCLA,77,12,Stephen F. Austin,60,17,11.7,9.03,1,1
23-Mar-14,2014,2,Midwest,11,Tennessee,83,14,Mercer,63,20,15.35,8.38,1,1
27-Mar-14,2014,3,South,11,Dayton,82,10,Stanford,72,10,-1.81,0.03,0,1
27-Mar-14,2014,3,South,1,Florida,79,4,UCLA,68,11,6.04,4.41,1,1
27-Mar-14,2014,3,West,2,Wisconsin,69,6,Baylor,52,17,6.5,4.95,1,1
27-Mar-14,2014,3,West,1,Arizona,70,4,San Diego St.,64,6,9.73,6.25,1,1
28-Mar-14,2014,3,Midwest,8,Kentucky,74,4,Louisville,69,5,-7.86,-3.65,0,0
28-Mar-14,2014,3,East,4,Michigan St.,61,1,Virginia,59,2,-2.54,0.28,0,1
28-Mar-14,2014,3,Midwest,2,Michigan,73,11,Tennessee,71,2,-0.25,1.87,0,1
28-Mar-14,2014,3,East,7,Connecticut,81,3,Iowa St.,76,5,1.06,2.52,1,1
29-Mar-14,2014,4,West,2,Wisconsin,64,1,Arizona,63,1,-4.22,-1.66,0,0
29-Mar-14,2014,4,South,1,Florida,62,11,Dayton,52,10,14.32,8.6,1,1
30-Mar-14,2014,4,East,7,Connecticut,60,4,Michigan St.,54,6,-1.79,-0.05,0,0
30-Mar-14,2014,4,Midwest,8,Kentucky,75,2,Michigan,72,3,-0.89,0.17,0,1
5-Apr-14,2014,5,Final Four,7,Connecticut,63,1,Florida,53,10,-6.44,-2.66,0,0
5-Apr-14,2014,5,Final Four,8,Kentucky,74,2,Wisconsin,73,1,-3.34,-1.72,0,0
7-Apr-14,2014,6,Championship,7,Connecticut,60,8,Kentucky,54,6,-0.42,0.34,0,1
19-Mar-15,2015,1,South,14,UAB,60,3,Iowa St.,59,1,-18.43,-13.36,0,0
19-Mar-15,2015,1,West,14,Georgia St.,57,3,Baylor,56,1,-11.82,-7.45,0,0
19-Mar-15,2015,1,South,11,UCLA,60,6,SMU,59,1,-2.86,-0.94,0,0
19-Mar-15,2015,1,Midwest,8,Cincinnati,66,9,Purdue,65,1,0.19,-1.07,1,0
19-Mar-15,2015,1,Midwest,6,Butler,56,11,Texas,48,8,1.15,1.74,1,1
19-Mar-15,2015,1,Midwest,3,Notre Dame,69,14,Northeastern,65,4,19.84,14.88,1,1
19-Mar-15,2015,1,East,8,North Carolina St.,66,9,LSU,65,1,2.17,2.71,1,1
19-Mar-15,2015,1,West,10,Ohio St.,75,7,VCU,72,3,4.48,3.44,1,1
19-Mar-15,2015,1,West,6,Xavier,76,11,Mississippi,57,19,5.61,4.37,1,1
19-Mar-15,2015,1,West,5,Arkansas,56,12,Wofford,53,3,9.72,6.73,1,1
19-Mar-15,2015,1,South,5,Utah,57,12,Stephen F. Austin,50,7,13.6,8.46,1,1
19-Mar-15,2015,1,West,4,North Carolina,67,13,Harvard,65,2,14.62,11.36,1,1
19-Mar-15,2015,1,South,4,Georgetown,84,13,Eastern Washington,74,10,15.88,9.42,1,1
19-Mar-15,2015,1,East,1,Villanova,93,16,Lafayette,52,41,32.79,22.33,1,1
19-Mar-15,2015,1,West,2,Arizona,93,15,Texas Southern,72,21,36.2,24.34,1,1
19-Mar-15,2015,1,Midwest,1,Kentucky,79,16,Hampton,56,23,44.31,31.26,1,1
20-Mar-15,2015,1,East,11,Dayton,66,6,Providence,53,13,-2.48,-1.65,0,0
20-Mar-15,2015,1,West,8,Oregon,79,9,Oklahoma St.,73,6,-1.04,0.8,0,1
20-Mar-15,2015,1,South,8,San Diego St.,76,9,St. John's,64,12,2.25,1.45,1,1
20-Mar-15,2015,1,South,7,Iowa,83,10,Davidson,52,31,4.02,2.95,1,1
20-Mar-15,2015,1,Midwest,4,Maryland,65,13,Valparaiso,62,3,4.55,4.9,1,1
20-Mar-15,2015,1,Midwest,5,West Virginia,68,12,Buffalo,62,6,5.77,5.57,1,1
20-Mar-15,2015,1,Midwest,7,Wichita St.,81,10,Indiana,76,5,8.38,5.07,1,1
20-Mar-15,2015,1,East,4,Louisville,57,13,UC Irvine,55,2,14.12,11.56,1,1
20-Mar-15,2015,1,East,5,Northern Iowa,71,12,Wyoming,54,17,15.31,9.68,1,1
20-Mar-15,2015,1,Midwest,2,Kansas,75,15,New Mexico St.,56,19,16.09,11.98,1,1
20-Mar-15,2015,1,East,3,Oklahoma,69,14,Albany,60,9,19.51,12.66,1,1
20-Mar-15,2015,1,South,2,Gonzaga,86,15,North Dakota St.,76,10,26.37,18.77,1,1
20-Mar-15,2015,1,East,2,Virginia,79,15,Belmont,67,12,27.79,19.05,1,1
20-Mar-15,2015,1,West,1,Wisconsin,86,16,Coastal Carolina,72,14,31.34,21.71,1,1
20-Mar-15,2015,1,South,1,Duke,85,16,Robert Morris,56,29,33.87,26.09,1,1
20-Mar-15,2015,1,East,7,Michigan St.,70,10,Georgia,63,7,6.63,6.38,1,1
21-Mar-15,2015,2,East,8,North Carolina St.,71,1,Villanova,68,3,-14.72,-8.65,0,0
21-Mar-15,2015,2,Midwest,3,Notre Dame,67,6,Butler,64,3,4.87,3.94,1,1
21-Mar-15,2015,2,West,4,North Carolina,87,5,Arkansas,78,9,7.41,5.67,1,1
21-Mar-15,2015,2,South,5,Utah,75,4,Georgetown,64,11,8.11,5.51,1,1
21-Mar-15,2015,2,West,6,Xavier,75,14,Georgia St.,67,8,9.17,6.35,1,1
21-Mar-15,2015,2,South,11,UCLA,92,14,UAB,75,17,11.59,8.53,1,1
21-Mar-15,2015,2,West,2,Arizona,73,10,Ohio St.,58,15,11.61,7.16,1,1
21-Mar-15,2015,2,Midwest,1,Kentucky,64,8,Cincinnati,51,13,22.76,16.51,1,1
22-Mar-15,2015,2,East,7,Michigan St.,60,2,Virginia,54,6,-8.34,-4.19,0,0
22-Mar-15,2015,2,Midwest,7,Wichita St.,78,2,Kansas,65,13,-0.51,-0.26,0,0
22-Mar-15,2015,2,East,4,Louisville,66,5,Northern Iowa,53,13,0.23,2.66,1,1
22-Mar-15,2015,2,Midwest,5,West Virginia,69,4,Maryland,59,10,1.96,1.11,1,1
22-Mar-15,2015,2,East,3,Oklahoma,72,11,Dayton,66,6,8.56,5.26,1,1
22-Mar-15,2015,2,South,2,Gonzaga,87,7,Iowa,69,18,8.76,6.3,1,1
22-Mar-15,2015,2,South,1,Duke,68,8,San Diego St.,49,19,16.53,13.9,1,1
22-Mar-15,2015,2,West,1,Wisconsin,72,8,Oregon,65,7,19.84,12.91,1,1
26-Mar-15,2015,3,West,1,Wisconsin,79,4,North Carolina,72,7,9.87,6.08,1,1
26-Mar-15,2015,3,Midwest,3,Notre Dame,81,7,Wichita St.,70,11,2.75,2.69,1,1
26-Mar-15,2015,3,West,2,Arizona,68,6,Xavier,60,8,12.87,8.72,1,1
26-Mar-15,2015,3,Midwest,1,Kentucky,78,5,West Virginia,39,39,19.27,13.17,1,1
27-Mar-15,2015,3,East,7,Michigan St.,62,3,Oklahoma,58,4,-1.08,1.45,0,1
27-Mar-15,2015,3,South,1,Duke,63,5,Utah,57,6,5.24,7.07,1,1
27-Mar-15,2015,3,East,4,Louisville,75,8,North Carolina St.,65,10,5.28,4.06,1,1
27-Mar-15,2015,3,South,2,Gonzaga,74,11,UCLA,62,12,13.13,9.4,1,1
28-Mar-15,2015,4,Midwest,1,Kentucky,68,3,Notre Dame,66,2,11.95,8.14,1,1
28-Mar-15,2015,4,West,1,Wisconsin,85,2,Arizona,78,7,1.36,1.52,1,1
